timestamp,symbol,entry_spread,exit_spread,spread_velocity,hold_minutes,pnl,exit_reason
2026-01-28T21:56:32.167640,WLDUSDT,0.89,-0.241,-6.783,0.18,1.7,Spread converged (profit)
2026-01-28T22:42:31.134067,WLDUSDT,0.759,-0.081,-5.038,0.19,1.26,Spread converged (profit)
2026-01-28T22:53:44.537358,WLDUSDT,0.957,-0.031,-5.93,0.18,1.48,Spread converged (profit)
2026-01-29T00:00:25.543706,WLDUSDT,0.881,0.035,-5.077,0.18,1.27,Spread converged (profit)
2026-01-29T00:06:25.834715,KITEUSDT,0.613,0.293,-2.717,0.74,0.48,Spread collapsing fast
2026-01-29T00:07:08.272059,KITEUSDT,0.668,0.172,-2.976,0.19,0.74,Spread collapsing fast
2026-01-29T03:05:57.140362,KITEUSDT,0.752,0.142,-3.657,0.18,0.91,Spread converged (profit)
2026-01-29T03:23:30.779389,KITEUSDT,0.757,-0.127,-5.302,0.18,1.33,Spread converged (profit)
2026-01-29T06:52:01.964236,KITEUSDT,0.814,-0.106,-5.523,0.19,1.38,Spread converged (profit)
2026-01-29T07:18:54.783954,KITEUSDT,0.692,0.028,0.06,1.0,Spread converged (profit)
2026-01-29T10:20:30.744528,KITEUSDT,0.768,0.062,0.05,1.06,Spread converged (profit)
2026-01-29T11:29:42.828690,KITEUSDT,0.644,0.068,0.07,0.86,Spread converged (profit)
2026-01-29T14:43:20.268156,ZECUSDT,0.702,-0.19,0.08,1.34,Spread converged (profit)
2026-01-29T15:19:12.775645,PUMPUSDT,0.927,0.069,0.05,1.29,Spread converged (profit)
2026-01-29T16:45:25.302086,KITEUSDT,0.625,0.028,0.11,0.9,Spread converged (profit)
2026-01-29T23:34:58.203176,KITEUSDT,0.784,0.076,0.05,1.06,Spread converged (profit)
2026-01-30T00:09:53.339587,KITEUSDT,0.693,0.069,0.5,0.94,Spread converged (profit)
2026-01-30T01:42:53.097042,ZECUSDT,1.117,1.784,0.1,-0.96,Spot volatility spike
2026-01-30T01:43:07.578871,ENAUSDT,1.611,-0.532,0.05,3.22,Spread converged (profit)
2026-01-30T01:45:28.769496,DASHUSDT,0.696,-0.151,0.05,1.27,Spread converged (profit)
2026-01-30T01:52:19.005707,KITEUSDT,0.698,0.093,0.11,0.91,Spread converged (profit)
2026-01-30T12:47:13.374679,PUMPUSDT,0.855,0.0,0.03,1.28,Spread converged (profit)
2026-01-30T13:30:17.212297,TAOUSDT,0.838,-0.272,0.1,1.67,Spread converged (profit)
2026-01-30T18:20:35.094188,ZECUSDT,0.865,-0.127,0.17,1.49,Spread converged (profit)
2026-01-31T08:17:35.737684,ASTERUSDT,1.073,0.069,0.07,1.51,Spread converged (profit)
2026-01-31T14:26:51.884646,PUMPUSDT,0.929,-0.389,0.15,1.97,Spread converged (profit)
2026-01-31T14:38:45.067848,ASTERUSDT,0.668,-0.259,0.07,1.39,Spread converged (profit)
2026-01-31T14:45:28.094997,ZECUSDT,0.815,-0.218,0.06,1.55,Spread converged (profit)
2026-01-31T17:11:53.882813,NEARUSDT,0.681,1.991,0.11,-1.92,Spot volatility spike
2026-01-31T17:12:03.155407,NEARUSDT,2.087,-1.453,0.04,5.35,Spread converged (profit)
2026-01-31T17:12:24.475116,SUIUSDT,1.062,0.855,0.12,0.33,Spot volatility spike
2026-01-31T17:12:56.389479,DASHUSDT,0.665,-0.684,0.08,2.03,Spread converged (profit)
2026-01-31T17:32:57.325256,PUMPUSDT,0.895,-0.041,0.05,1.4,Spread converged (profit)
2026-01-31T18:43:24.127827,ARBUSDT,0.759,-0.606,0.13,2.05,Spread converged (profit)
2026-01-31T18:43:39.473479,ARBUSDT,0.688,1.238,0.13,-0.8,Spot volatility spike
2026-01-31T18:43:48.313750,ASTERUSDT,0.722,-0.038,0.03,1.14,Spread converged (profit)
2026-01-31T18:43:57.318664,ARBUSDT,1.48,2.855,0.03,-1.99,Spot volatility spike
2026-01-31T19:38:11.451670,ASTERUSDT,0.631,-0.111,0.07,1.11,Spread converged (profit)
2026-02-01T02:59:53.801106,DASHUSDT,0.823,-0.195,0.11,1.53,Spread converged (profit)
2026-02-01T05:46:58.424415,DASHUSDT,0.996,-0.044,0.07,1.56,Spread converged (profit)
2026-02-01T14:34:57.403768,DASHUSDT,0.618,-0.114,0.1,1.1,Spread converged (profit)
2026-02-01T21:10:30.353374,PUMPUSDT,0.879,0.04,0.17,1.26,Spread converged (profit)
2026-02-02T13:47:02.527432,ZAMAUSDT,0.703,-0.734,0.14,2.15,Spread converged (profit)
2026-02-02T13:48:07.891360,ZAMAUSDT,0.665,-0.259,0.07,1.39,Spread converged (profit)
2026-02-02T13:48:42.516464,ZAMAUSDT,0.705,-0.235,0.07,1.41,Spread converged (profit)
2026-02-02T13:52:03.486392,ZAMAUSDT,1.379,-0.26,0.17,2.46,Spread converged (profit)
2026-02-02T13:53:41.252596,ZAMAUSDT,0.923,-0.503,0.2,2.14,Spread converged (profit)
2026-02-02T13:59:23.524262,ZAMAUSDT,2.137,-1.496,0.07,5.47,Spread converged (profit)
2026-02-02T13:59:48.371408,ZAMAUSDT,1.647,-1.316,0.03,4.46,Spread converged (profit)
2026-02-02T14:04:34.158009,ZAMAUSDT,0.906,0.091,0.35,1.22,Spread converged (profit)
2026-02-02T14:10:04.752388,ZAMAUSDT,0.677,0.062,0.03,0.92,Spread converged (profit)
2026-02-02T14:13:48.189134,ZAMAUSDT,0.654,-0.093,0.14,1.12,Spread converged (profit)
2026-02-02T14:21:27.063127,ZAMAUSDT,0.775,-0.186,0.27,1.44,Spread converged (profit)
2026-02-02T14:29:14.042242,ZAMAUSDT,0.641,-0.064,0.04,1.06,Spread converged (profit)
2026-02-02T14:42:19.810643,ZAMAUSDT,0.811,0.031,0.11,1.17,Spread converged (profit)
2026-02-02T14:51:32.342284,ZAMAUSDT,0.682,0.031,0.03,0.98,Spread converged (profit)
2026-02-02T15:00:55.696097,ZAMAUSDT,0.679,0.093,0.03,0.88,Spread converged (profit)
2026-02-02T15:03:40.337663,ZAMAUSDT,0.623,0.093,0.03,0.79,Spread converged (profit)
2026-02-02T15:05:37.191844,ZAMAUSDT,1.546,0.061,0.07,2.23,Spread converged (profit)
2026-02-02T15:05:57.031594,ZAMAUSDT,1.075,-1.035,0.07,3.18,Spread converged (profit)
2026-02-02T16:00:13.891201,ZAMAUSDT,1.506,-1.699,0.08,4.79,Spread converged (profit)
2026-02-02T17:06:43.394349,ZAMAUSDT,4.331,-0.254,0.11,6.88,Spread converged (profit)
2026-02-02T17:07:06.806706,ZAMAUSDT,0.732,-0.309,0.14,1.56,Spread converged (profit)
2026-02-02T17:09:38.951380,ZAMAUSDT,1.12,-0.4,0.04,2.28,Spread converged (profit)
2026-02-03T08:47:56.910917,ZAMAUSDT,0.888,-0.507,0.03,2.09,Spread converged (profit)
2026-02-03T19:35:31.297708,ZAMAUSDT,0.622,-0.037,0.44,0.99,Spread converged (profit)
2026-02-03T19:36:19.743622,ZAMAUSDT,0.624,-0.147,0.17,1.16,Spread converged (profit)
